source_id,total_score,percentile_rank,latent_distance,candidate_type,feature_flags,error_ra,error_dec,error_parallax,error_parallax_error,error_pmra,error_pmdec,error_radial_velocity,error_radial_velocity_error,error_ruwe,error_astrometric_excess_noise,error_astrometric_excess_noise_sig,error_ipd_frac_multi_peak,error_ipd_gof_harmonic_amplitude,error_visibility_periods_used,error_non_single_star,error_duplicated_source,error_distance,error_tangential_velocity,error_total_velocity
10767659105391872,0.7000,94.17,0.0000,quality_issue,astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|duplicated_source,0.1519,0.4181,0.1478,0.0122,1.2211,0.2535,0.1078,0.1099,0.3723,0.0830,3.2241,13.7211,0.1791,3.6666,0.2693,0.2581,0.2539,1.2868,1.1398
10823905997079424,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,12.8904,26.2687,103.7803,8.2886,1.0716,16.4155,0.8712,20.3375,60.0231,150.8345,614.7157,13.7718,3.0445,620.1546,121.8940,29.8866,4.0963,54.4980,22.4405
11155099514789632,0.7000,94.17,0.0000,quality_issue,parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star,1.0179,0.8604,2.5536,0.2914,0.7459,0.4985,0.2168,0.4590,2.5051,2.9996,11.0567,99.1399,0.1514,3.1805,1.4277,0.0732,0.5004,0.1877,0.5325
12730974556132096,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,65.5950,144.2818,561.9843,49.6032,14.6997,86.0335,5.2384,98.3806,172.5153,826.0024,3617.6958,36.9439,15.9347,3392.3728,659.5406,163.5289,26.8539,288.0837,117.3204
12828899810152704,0.7000,94.17,0.0000,astrometric_binary,parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source,1.5876,1.1209,9.2797,0.3410,0.4010,0.4411,0.7386,0.7068,2.7003,5.7275,37.1505,54.8576,0.3079,10.5724,3.2344,0.6317,1.8832,1.4813,0.2460
13193284834841472,0.7000,94.17,0.0000,astrometric_binary,parallax|parallax_error|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity,0.3204,1.6581,10.8171,0.3483,0.6782,1.0643,0.1529,9.0832,6.4340,12.0287,32.9709,1.4210,0.3833,45.1189,10.3620,2.4219,1.3661,2.6422,0.2968
7023547134959232,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,8.5681,23.1558,83.0060,8.4936,2.6843,11.1796,0.9023,14.6964,69.7103,124.1082,594.7552,95.0255,2.5838,491.3634,98.2721,24.6721,6.4186,41.1478,18.2300
9835028431935616,0.7000,94.17,0.0000,astrometric_binary,dec|parallax|parallax_error|pmra|radial_velocity|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,1.7017,4.2886,10.7225,1.4705,2.3425,0.8824,1.9313,4.8015,17.4745,16.7199,101.1236,120.7470,0.1746,45.4915,11.8424,3.3289,2.0187,6.8904,4.1118
10283805269290240,0.7000,94.17,0.0000,quality_issue,parallax_error|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|distance,0.8025,1.3347,1.3108,0.3046,0.8661,0.6006,0.4360,7.2226,2.0504,3.3282,23.5123,87.1291,0.1271,5.4928,1.4737,0.0066,2.1507,0.0042,0.8063
10625478508321664,0.7000,94.17,0.0000,quality_issue,ruwe|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude,0.4998,0.5469,0.0549,0.1211,0.4947,0.9591,0.0224,0.1874,1.4128,0.5183,3.9517,11.3942,0.1366,0.6939,0.2318,0.0349,1.2579,0.9652,0.1036
11528207618987776,0.7000,94.17,0.0000,astrometric_binary,dec|parallax|parallax_error|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity,0.1499,2.1794,8.5261,0.3290,0.5365,1.3848,0.5563,5.7826,6.6952,11.6360,33.7131,1.4434,0.3329,43.5402,9.9161,2.3354,0.5640,4.1353,1.3339
13419608136495488,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,6.5352,13.7589,58.7409,4.4261,1.0210,8.7254,0.8954,11.8516,36.8322,82.8773,326.4436,7.6887,1.7596,337.3591,65.3928,16.4501,0.9611,30.7226,12.8758
14665221667389056,0.7000,94.17,0.0000,quality_issue,parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star,0.2521,0.8900,1.7929,0.2386,1.1312,0.3285,0.2226,0.7131,6.3425,3.4645,22.2035,91.2113,0.1481,4.3669,1.5684,0.0693,1.6600,1.3235,0.5252
11906169036602496,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,2.8992,7.3016,29.4722,2.0120,0.5941,4.4197,0.5467,6.1464,24.7153,42.1905,157.8209,4.0525,0.9880,169.1519,34.6776,8.3897,1.3566,14.7265,5.4179
12185101392458240,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,32.2764,79.5279,302.1483,28.4720,7.6582,43.6382,0.4345,59.4592,115.2644,448.8515,2048.7942,134.3033,8.8905,1820.0087,356.5262,88.9785,18.1432,156.8304,64.9008
12828899809609856,0.7000,94.17,0.0000,astrometric_binary,parallax|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance,1.4350,0.8126,8.5551,0.1118,0.2716,0.6382,0.6676,0.4908,1.5924,3.9335,26.6502,39.0569,0.2628,6.0164,2.1059,0.3204,2.2791,0.4414,0.5043
13175177253919488,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,7.5337,26.5799,98.3824,10.0209,2.8999,13.2487,0.5149,20.9081,32.9655,146.5802,731.9445,124.1053,2.7445,572.8920,114.8136,29.1015,7.0611,50.7544,21.5375
